TEAM_ID,PLAYER_NAME,PLAYER_ID,TEAM_NBACOM,POS,ROLE,GP,MIN,POSS,PTS,REB,AST,STL,BLK,TOV,FG2_PCT,FG3_PCT,OREB,DREB,FG3A,AT_RIM_FGA,AT_RIM_FREQUENCY,AT_RIM_ACCURACY,MID_FGA,MID_FREQUENCY,MID_ACCURACY,THREE_FREQUENCY,THREE_ACCURACY,rTS,USG_PCT,BOX_CREATION,OFF_LOAD,FTA_RATE,OREB_PCT,DREB_PCT,AST_PCT,STL_PCT,BLK_PCT,TOV_PCT
1610612752,Mikal Bridges,1628969,NYK,SF,Forward,61,2073,4288,959,250,244,92,49,64,0.589,0.387,64,186,331,176,0.23,0.761,259,0.338,0.471,0.432,0.387,4.2,17.7,4.3,27.5,0.099,3.4,10,16.9,2.2,2.4,7.4
1610612750,Mike Conley,201144,MIN,PG,Point,46,831,1784,195,80,130,26,12,27,0.326,0.313,15,65,134,16,0.09,0.438,27,0.153,0.259,0.757,0.313,-6.4,11.4,2.3,19.7,0.26,2,8.5,19,1.5,1.3,12
1610612766,Miles Bridges,1628970,CHA,PF,Forward,56,1786,3684,1000,340,193,34,28,84,0.546,0.333,56,284,357,229,0.288,0.638,209,0.263,0.445,0.449,0.333,1,22.8,4.8,33.6,0.245,3.6,17.6,16.7,0.9,1.4,8.7
1610612742,Miles Kelly,1642939,DAL,PG,Combo,14,134,297,43,24,12,4,1,6,0.545,0.303,5,19,33,4,0.091,0.75,7,0.159,0.429,0.75,0.303,-7.4,15.8,1.6,21.2,0.023,4.1,14.6,11.9,1.4,0.6,11.9
1610612752,Miles McBride,1630540,NYK,SG,Combo,35,981,2025,451,91,97,30,6,28,0.462,0.42,22,69,243,34,0.094,0.618,85,0.235,0.4,0.671,0.42,3.4,17.7,3.8,26.5,0.119,2.4,7.8,13.7,1.5,0.6,6.8
1610612752,Mitchell Robinson,1629011,NYK,C,Big,44,852,1748,223,380,42,35,51,28,0.699,0,194,186,0,134,0.985,0.694,2,0.015,1,0,0,8.7,10.1,0,0,0.618,24.7,24.3,6.4,2,6,14.4
1610612762,Mo Bamba,1628964,UTA,C,Big,2,6,14,0,2,0,0,1,0,NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,-55.8,14.2,NA,NA,0,18.4,18.9,0,0,16.3,0
1610612752,Mohamed Diawara,1642885,NYK,SF,Forward,50,376,795,154,62,28,13,6,17,0.522,0.398,10,52,83,27,0.209,0.519,19,0.147,0.526,0.643,0.398,1.9,17,2.4,23.3,0.078,2.9,15.4,10.2,1.7,1.6,11.3
1610612754,Monte Morris,1628420,IND,PG,Combo,6,65,144,18,7,9,1,1,2,0.417,0.25,1,6,8,6,0.3,0.667,6,0.3,0.167,0.4,0.25,-14.4,15.5,2,22.6,0.2,1.6,10.3,19.1,0.7,1.3,8.4
1610612753,Moritz Wagner,1629021,ORL,C,Big,19,235,497,166,57,15,13,1,11,0.574,0.391,16,41,46,44,0.386,0.705,24,0.211,0.333,0.404,0.391,7.1,25.8,4.4,34.2,0.36,7.4,19.7,10.6,2.7,0.4,7.7
